Resource ID,Resource Name,Resource URL,Description,Archived,Format,Type,Runtime,Subject Areas,Authoring Organization,Intended Audiences,Record Modified,Resource Revised
L000603112,MetamorphoSys. Rich Release Format (RRF) Browser: Highlight Search Results.,https://www.nlm.nih.gov/research/umls/user_education/quick_tours/MMSys/HighlightSearchResultsN.html,Tutorial explaining how to customize visualization of search results by applying highlighting of search results by specific terminology sources or content views.,false,MP4 Video,Video Tutorial,2,Unified Medical Language System (UMLS); Terminology,"UMLS Team, LO/BSD/MMS",User; Trainer,06/26/2018 12:00:00 AM,05/02/2018 12:00:00 AM
L000643112,MetamorphoSys. Rich Release Format (RRF) Browser: “Refine Search By” Feature.,https://www.nlm.nih.gov/research/umls/user_education/quick_tours/MMSys/refineSearchByN.html,"This tutorial demonstrates how to refine your search by specific sources, content views, or semantic types within the MetamorphoSys RRF Browser.",false,MP4 Video,Video Tutorial,2,Unified Medical Language System (UMLS); Terminology,"UMLS Team, LO/BSD/MMS",User; Trainer,10/12/2018 12:00:00 AM,05/03/2018 12:00:00 AM
L00248080,MetamorphoSys. Rich Release Format Browser: Find a Code From a CUI,https://www.nlm.nih.gov/research/umls/user_education/quick_tours/MMSys/codeFromCUI_N.html,This tutorial demonstrates how to search with CUIs to retrieve source codes within the MetamorphoSys RRF Browser.,false,MP4 Video,Quick Tour,2,Unified Medical Language System (UMLS); Terminology,"UMLS Team, LO/BSD/MMS",User; Trainer,03/03/2022 12:00:00 AM,09/15/2015 12:00:00 AM
L000601112,MetamorphoSys. Rich Release Format Browser: Search By Code.,https://www.nlm.nih.gov/research/umls/user_education/quick_tours/MMSys/MMSSearchByCode.html,A tutorial that explains how to perform searches by code using the MetamorphoSys tool that is an essential part of UMLS distribution.,false,MP4 Video,Video Tutorial,1,Unified Medical Language System (UMLS); Terminology,"UMLS Team, LO/BSD/MMS",User; Trainer,06/26/2018 12:00:00 AM,04/18/2018 12:00:00 AM
L000921112,Midday at the Oasis: What to do after You Take a Data Course,https://youtu.be/y_ZQwPYqDEQ,"This is a joint webinar of PSR's Midday at the Oasis and PNR Rendezvous! Each of us hosts a webinar on the third Wednesday of the Month! Summary: There are many online and in-person courses available for librarians to learn about research data management, data analysis, and visualization, but after you have taken a course, how do you go about applying what you have learned? While it is possible to just start offering classes and consultations, your service will have a better chance of becoming relevant if you consider stakeholders and review your institutional environment. This lecture will give you some ideas to get started with data services at your institution.Presenter Bio: Margaret Henderson is the Health Sciences Librarian at San Diego State University Library. She is liaison to the College of Health and Human Services and is also working with other Librarians at SDSU to set up RDM services. She is also one of the instructors for the â€œBiomedical & Health Research Data Management for Librariansâ€ courses  sponsored by the National Library of Medicine (NLM) and the National Network of Libraries of Medicine Training Office (NTO) Previously, she spent three and a half years setting up RDM services at Virginia Commonwealth University Libraries. Margaret has been a biomedical librarian for over 30 years and is a Distinguished member of the Academy of Healthcare Information Professionals. She has presented and written on many library topics over the years, and wrote the book, Data Management: A Practical Guide for Librarians (2016, Rowman & Littlefield).",false,MP4 Video,Webinar,55,Data Science,Network of the National Library of Medicine,User,05/28/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L002885112,My Bibliography,https://youtu.be/SpFcC0eRk8Q,"A brief introduction to the new My Bibliography page released in May, 2019.",false,MP4 Video,YouTube Video,2,My NCBI; Public Access,"Training Team, NCBI",User,03/14/2022 12:00:00 AM,05/03/2019 12:00:00 AM
L001535112,My NCBI,https://www.youtube.com/watch?v=fTlGVPXLXeE,"This is an updated introduction to your free My NCBI account. Learn how to navigate and change settings for your saved PubMed searches, Collections, My Bibliography, BLAST searches, and more",false,MP4 Video,YouTube Video,,My NCBI,"Training Team, NCBI",User,06/17/2020 12:00:00 AM,10/23/2019 12:00:00 AM
L004583112,NCBI BLAST: Identifying Sequences: An NLM Navigator,https://www.nlm.nih.gov/oet/ed/navigator/blast-ident/launch.html,This interactive tutorial walks you through your first BLAST to identify the source of a DNA or RNA sequence.,false,HTML,Tutorial,15,Genetics and Molecular Biology; Bioinformatics,Office of Engagement and Training,User,10/25/2023 12:00:00 AM,10/20/2023 12:00:00 AM
L004641112,NCBI ClinVar: Clinical Variation: An NLM Navigator,https://www.nlm.nih.gov/oet/ed/navigator/clinvar/launch.html,This tutorial guides you through finding relevant genetic variations associated with human health and the evidence linking the variation to clinical observations.,false,HTML,Tutorial,10,Genetics and Molecular Biology; Bioinformatics; Clinical Medicine,Office of Engagement and Training,User,11/03/2023 12:00:00 AM,11/03/2023 12:00:00 AM
L001901112,"NCBI Datasets CoLab Presentation, ASHG2020",https://youtu.be/79IakxFuNaQ,This video is an introduction to and tutorial for the Datasets resource at the National Center for Biotechnology Information (NCBI).,false,MP4 Video,YouTube Video,13,Genetics and Molecular Biology; Bioinformatics; Data Science,"Training Team, NCBI",User,12/01/2020 12:00:00 AM,11/02/2020 12:00:00 AM
L004586112,NCBI Gene: Finding Gene Expression Data: An NLM Navigator,https://www.nlm.nih.gov/oet/ed/navigator/gene-express/launch.html,"This interactive tutorial shows how to find in what tissues and under what conditions a gene is expressed, and to find tissue-specific expression of gene variants.",false,HTML,Tutorial,20,Genetics and Molecular Biology; Bioinformatics,Office of Engagement and Training,User,10/25/2023 12:00:00 AM,10/20/2023 12:00:00 AM
L004587112,NCBI Gene: Finding and Exploring Variations: An NLM Navigator,https://www.nlm.nih.gov/oet/ed/navigator/gene-variation/launch.html,This interactive tutorial demonstrates how to find variations that are present in the gene and explore their known associations with disease using the NCBI Gene database.,false,HTML,Tutorial,20,Genetics and Molecular Biology; Bioinformatics,Office of Engagement and Training,User,10/25/2023 12:00:00 AM,10/20/2023 12:00:00 AM
L004584112,NCBI Gene: Finding the Gene in the Genome: An NLM Navigator,https://www.nlm.nih.gov/oet/ed/navigator/gene/launch.html,This interactive tutorial guides you through how to find the genes are involved in a specific region of the genome given a chromosomal location.,false,HTML,Tutorial,10,Genetics and Molecular Biology; Bioinformatics,Office of Engagement and Training,User,10/25/2023 12:00:00 AM,10/20/2023 12:00:00 AM
L004585112,NCBI Gene: Finding the Reference Sequences: An NLM Navigator,https://www.nlm.nih.gov/oet/ed/navigator/gene-refseq/launch.html,"This interactive tutorial shows how to use the NCBI Gene Database to find the reference genomic, transcript and protein sequences for a gene given the gene name or symbol and species.",false,HTML,Tutorial,15,Genetics and Molecular Biology,Office of Engagement and Training,User,10/25/2023 12:00:00 AM,10/20/2023 12:00:00 AM
L000788112,NCBI Human Variation and Medical Genetics Resources,https://www.youtube.com/watch?v=zdIg7zGNkbg&feature=youtu.be,"Through this webinar, you will learn to use and access resources associated with human sequence variations and phenotypes associated with specific human genes and phenotypes. The webinar will emphasize the Gene, MedGen and ClinVar resources to search by gene, phenotype and and variant respectively. You will learn how to map variation from dbSNP and dbVAR onto genes, transcripts, proteins, and genomic regions and how to find genetic tests in GTR. You will also gain experience using additional tools and viewers including PheGenI, a browser for genotype associations, the Variation Viewer and the 1000 Genomes Browser. These provide useful ways to search for, map and browse variants as well as upload and download data in genomic context.",false,MP4 Video,YouTube Video,63,Genetics and Molecular Biology; My NCBI,"Training Team, NCBI",User,11/14/2018 12:00:00 AM,05/31/2016 12:00:00 AM
L00541080,NCBI Learn,https://www.ncbi.nlm.nih.gov/home/learn/,"The catalog of NCBI Webinars and Courses, Conferences and Presentations, Tutorials and Documentation. (Note: For PubMed resources, see https://www.nlm.nih.gov/bsd/disted/pubmed.html)",false,HTML,Directory,,Genetics and Molecular Biology; Bioinformatics,"Training Team, NCBI",User,01/26/2023 12:00:00 AM,01/01/2023 12:00:00 AM
L004601112,NCBI MedGen: An NLM Navigator,https://www.nlm.nih.gov/oet/ed/navigator/medgen/launch.html,"This interactive tutorial provides a tour of the NCBI MedGen database, which provides vocabulary, background information, and links to detailed information about medical genetics.",false,HTML,Tutorial,10,Genetics and Molecular Biology; Bioinformatics,Office of Engagement and Training,User,11/01/2023 12:00:00 AM,11/01/2023 12:00:00 AM
L001537112,NCBI Minute: A Beginner's Guide to Genes and Sequences at NCBI,https://www.youtube.com/watch?v=QIZ8QH6JcC8,"Interested in learning about genes and sequences but don't know how to begin? This webinar, intended for people with limited experience working with sequence information, will provide you with basic knowledge on how to find and compare nucleotide and protein sequences. You will learn about the kinds of data available for genes and sequences, how to select the most informative records, and how to find related genes and sequences using pre-computed information and the BLAST sequence search service.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/17/2020 12:00:00 AM,09/16/2019 12:00:00 AM
L001904112,NCBI Minute: A New Way to Prepare Genome Submissions for GenBank Using Genome Workbench,https://youtu.be/rvEm1Q0KKiM,"To help you prepare for the upcoming retirement of Sequin in January 2021, we show you a new way to prepare genome submissions for GenBank using Genome Workbench. You will learn how to use Genome Workbench's Submission Wizard, Validation and Submitter Reports, Flat File View, and Graphical Sequence View to prepare your annotated genome submission to GenBank and find and fix any problems before submitting.",false,MP4 Video,YouTube Video,35,Genetics and Molecular Biology; Bioinformatics,"Training Team, NCBI",User,12/01/2020 12:00:00 AM,11/23/2020 12:00:00 AM
L004081112,NCBI Minute: Accessing NCBI AMR Pathogen Data in the Cloud,https://www.youtube.com/watch?v=j4dzFOo2FmI,"This 30 minute webinar describes how to access antimicrobial resistance (AMR) data from NCBI's Pathogen Detection resource.  The Pathogen Detection team uses Google BigQuery to present tables of data in the cloud, and this webinar shows you how to access these tables.  You will also learn about AMRFinderPlus and how it is used to identify anti-microbial resistance genes, point mutations, variants and stress resistance genes.",false,MP4 Video,YouTube Video,27,NCBI Workshops,"Training Team, NCBI",User; Trainer,04/24/2023 12:00:00 AM,04/18/2023 12:00:00 AM
L001536112,NCBI Minute: An Insider's Guide to the New My Bibliography,https://www.youtube.com/watch?v=DDHkAVQ5dDQ,"My Bibliography is a central place to save and share your citations. You can add PubMed citations, create them manually, or upload them from citation managers. In this webinar you will learn how to navigate the new interface, receive a few helpful tips to make your experience easier, get a sneak peek of features under development, and learn how you can help us improve My Bibliography by providing feedback.",false,MP4 Video,YouTube Video,,My NCBI,"Training Team, NCBI",User,06/17/2020 12:00:00 AM,09/28/2019 12:00:00 AM
L002121112,NCBI Minute: Changes Are Coming To The Way You Log Into Your NCBI Account,https://www.youtube.com/watch?v=glwhkkWiq8U,"Shows how to register for a free login.gov account, how to link this to an existing NCBI account, and where to find the most up-to-date information and FAQs on this topic.",false,MP4 Video,YouTube Video,13,My NCBI; Other,"Training Team, NCBI",User; Trainer,04/29/2021 12:00:00 AM,03/05/2021 12:00:00 AM
L002887112,"NCBI Minute: ElasticBLAST, A New Tool to Help You Run BLAST Searches on the Cloud",https://www.youtube.com/watch?v=4adTdV_patk,"In this webinar you will  learn about ElasticBLAST, a new tool that runs your BLAST searches on cloud hardware, using the standard BLAST command-line package.",false,MP4 Video,YouTube Video,29,My NCBI; Other,"Training Team, NCBI",User,03/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM
L002181112,NCBI Minute: Enhancements to BLAST and Primer-BLAST,https://www.youtube.com/watch?v=LnkNhyTz4lo,Webinar on recent changes to BLAST and Primer-BLAST.,false,MP4 Video,YouTube Video,42,Genetics and Molecular Biology,"Training Team, NCBI",User; Trainer,04/30/2021 12:00:00 AM,04/07/2021 12:00:00 AM
L001522112,NCBI Minute: Exploring SRA Metadata in the Cloud with BigQuery,https://www.youtube.com/watch?v=DkNz-RCCm-M,"NCBI staff will show you how to use Google's BigQuery to quickly search the data from the Sequence Read Archive (SRA) database to speed up your bioinformatic research and discovery projects. BigQuery is a tool that enables you to explore cloud-based data tables with SQL-like queries. In this webinar, we introduce you to using BigQuery to mine SRA submitter-supplied metadata and the results of taxonomic analysis for SRA runs. You'll see real-world case studies that show how find key information about SRA runs and identify data sets for your own analysis pipelines.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/17/2020 12:00:00 AM,05/20/2020 12:00:00 AM
L002384112,NCBI Minute: Finding Data for your Research Organism: Plants and RNA-Seq,https://www.youtube.com/watch?v=BBBKt7Z3bt8,"Learn how to use NCBI's web resources, find and access gene and sequence data from Datasets and other NCBI web resources, as well as sample metadata and gene expression RNA-Seq data from SRA and the SRA Run Selector. Also see an example that highlights how to use these data in a typical workflow set up in a Jupyter notebook.",false,MP4 Video,YouTube Video,33,Genetics and Molecular Biology; Other,"Training Team, NCBI",User; Trainer,09/13/2021 12:00:00 AM,08/24/2021 12:00:00 AM
L001576112,NCBI Minute: Five Teaching Examples Using BLAST,https://www.youtube.com/watch?v=JKD5laNtwSc&t=5s,"Sequence similarity search tools such as BLAST are fundamental to modern biology and are now taught to students in undergraduate biology classes or earlier. We have many standard demonstrations that we use to highlight the features of BLAST. These examples are also useful for teaching biology principles and techniques including evolution, taxonomy, homology, multiple sequence alignment, phylogenetic trees, primer design and gene expression analysis. This webinar will provide you with examples using NCBI BLAST that explore these principles and techniques that you can readily adapt to your classrooms.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/18/2020 12:00:00 AM,07/31/2019 12:00:00 AM
L000722112,NCBI Minute: Five Teaching Examples using NCBI BLAST,https://www.youtube.com/watch?v=JKD5laNtwSc&feature=youtu.be,"Sequence similarity search tools such as BLAST are fundamental to modern biology and are now taught to students in undergraduate biology classes or earlier. We have many standard demonstrations that we use to highlight the features of BLAST. These examples are also useful for teaching biology principles and techniques including evolution, taxonomy, homology, multiple sequence alignment, phylogenetic trees, primer design and gene expression analysis. This webinar will provide you with examples using NCBI BLAST that explore these principles and techniques that you can readily adapt to your classrooms",false,MP4 Video,Webinar,30,Genetics and Molecular Biology; Bioinformatics,"Training Team, NCBI",User,05/28/2020 12:00:00 AM,07/25/2018 12:00:00 AM
L001578112,NCBI Minute: Getting the Genomic Context for BLAST Protein Matches,https://www.youtube.com/watch?v=5ueWbp0tVvA,"Do you ever want to see the flanking genes of a protein match from a BLAST search? While this genomic context is invisible in protein-protein BLAST results, it is only a few clicks away. In this webinar you will learn to view the genomic context of bacterial proteins using the identical protein report and the graphical sequence viewer. You will also learn to use these reports in detail and see how to retrieve and analyze them using EDirect.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/18/2020 12:00:00 AM,06/28/2018 12:00:00 AM
L001570112,NCBI Minute: Getting the Most from Track Hubs in NCBI's Genome Data Viewer,https://www.youtube.com/watch?v=PXYOV3oswB8,"We first made Track Hubs available in Genome Data Viewer (GDV) in June 2018 and continue to improve and refine how they function. This webinar, intended for both new and experienced Track Hub users, will describe what Track Hubs are and how they can help you in your research. You will see how to find Hubs of interest easily through a browser-integrated search of the Track Hub Registry. You learn how you can use Track Hubs together with NCBI-provided tracks to help you analyze aspects of a particular gene or protein. You will also see how you can share your GDV tracks, including those added from Track Hubs, with your peers.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/18/2020 12:00:00 AM,12/05/2018 12:00:00 AM
L001582112,NCBI Minute: Getting the Most out of Web BLAST Tabular Format,https://www.youtube.com/watch?v=BIBL-wYhAl4,"The NCBI web BLAST service has a number of useful download formats including the traditional pairwise output, tabular formats and highly structured formats. All of these allow you to easily save your BLAST results for later processing, editing, and annotating. The tabular formats are popular as they are human-readable and can easily be imported into spreadsheet programs. One drawback is that the tabular formats contain limited information about your results. Through this webinar you will learn to use basic Unix tools and the NCBI EDirect suite of programs to expand and enhance your tabular saved BLAST results. You will see how to add useful information such as taxonomy, sequence titles, and links to sequence records and publications.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/18/2020 12:00:00 AM,04/13/2018 12:00:00 AM
L001575112,"NCBI Minute: Hey Professors, Get Your Free Personal Assistant - an NCBI Account!",https://www.youtube.com/watch?v=WIYArgdnWTA,"This webinar will show you how to use an NCBI Account to help you keep up with things you often need to do. You will see how to: Maintain custom collections of important records for use in coursework and research projects. Create lists of publications or database records to send to your courses, journal clubs and research teams. Get automated updates when new publications or database records are available. Maintain your bibliography and create a URL to share and post on for your Faculty Profile. Format your U.S. Gov't BioSketch with a click of a mouse. And keep track of everything - right on your My NCBI dashboard.",false,MP4 Video,YouTube Video,,My NCBI,"Training Team, NCBI",User,06/18/2020 12:00:00 AM,08/22/2018 12:00:00 AM
L001533112,NCBI Minute: Human Population Genetic Data at NCBI,https://www.youtube.com/watch?v=5CzjOI3-qOU,"Population variation frequency information can help assess the potential impact of human genetic variants. This webinar introduces you to the population variation datasets at NCBI such as 1000 Genomes, ExAC, GnomAD, and TopMed that are currently included on dbSNP records. You will learn how to find the data, and how you can use this information to interpret and prioritize variants for further study. You will also see a preview a new initiative, the dbGaP Allele Frequency Aggregator (ALFA), that is based on more than 150,000 subjects in 60 dbGaP studies. The initial ALFA public release will include population allele frequencies for more than 500 million known genetic variations and more than 20 million novel variations. We will provide the ALFA data on dbSNP and ClinVar records, on the FTP site for bulk download, and the SPDI APIs for scripting access.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/17/2020 12:00:00 AM,12/10/2019 12:00:00 AM
L001579112,NCBI Minute: Improved Standalone BLAST Databases and Programs: Now with Taxonomic Information,https://www.youtube.com/watch?v=ZZ_K_7-rZj4,"Limiting a BLAST search to particular organism or group is important for efficient BLAST searches and results that are easier to interpret especially as the databases continue to grow in size. The latest standalone BLAST databases, dbV5, have built-in taxonomy information and provide faster sequence access using identifiers. Using Taxonomy limits in your searches is easier than ever when you use these new databases with the BLAST programs in the alpha release 2.8.0+. Through this webinar you will learn how to download and use BLASTdbv5 and the new BLAST programs to limit searches to taxonomic groups and to retrieve sequences from the database by taxonomy without the often difficult step of first downloading an identifier list.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/18/2020 12:00:00 AM,05/17/2018 12:00:00 AM
L001580112,NCBI Minute: Integrating PubChem into Your Chemistry Teaching,https://www.youtube.com/watch?v=pk24nxCIXRg,"PubChem is one of most visited chemistry web sites in the world with more than 2.9 million unique users per month. This NCBI Minute shows how you can integrate PubChem in your chemistry teaching as a cheminformatics education resource. In addition to learning about tools and services for search, analysis, and download of chemical information, you will see how PubChem has been incorporated in Cheminformatics OLCC (On-Line Chemistry Courses), an intercollegiate hybrid course.",false,MP4 Video,YouTube Video,,Other,"Training Team, NCBI",User,06/18/2020 12:00:00 AM,05/10/2018 12:00:00 AM
L002642112,NCBI Minute: Introducing the Updated PubMed E-utilities (API),https://www.youtube.com/watch?v=aETx4MyXukk&t=5s,"An updated version of the E-utilities API for PubMed on April 4, 2022. Learn about how these changes will affect your API calls to PubMed.",false,MP4 Video,YouTube Video,35,PubMed,"Training Team, NCBI",User; Trainer,12/29/2021 12:00:00 AM,10/26/2021 12:00:00 AM
L002381112,NCBI Minute: My NCBI Password Retirement Update & Wizard Demo,https://www.youtube.com/watch?v=qMNvBsDVa_I,"In this webinar, you will learn what you need to do to link a third-party login using our Wizard, get an updated timeline for the transition of third-party logins, and get answers to your questions.",false,MP4 Video,YouTube Video,33,My NCBI; Other,"Training Team, NCBI",User; Trainer,09/13/2021 12:00:00 AM,08/03/2021 12:00:00 AM
L001534112,NCBI Minute: NCBI Resources for NextGen Sequence Analysis,https://www.youtube.com/watch?v=fntuZci5CUw,"This webinar covers key NCBI resources that support multiple aspects of nextgen sequence analyses, including quality control, alignment, data visualization and results interpretation. You will also see how to access and apply these resources for both SRA and your own RNASeq/DNASeq datasets. Whether you’re embarking on your first analysis or already have a background in bioinformatics, you’ll find tools that meet your needs!",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/17/2020 12:00:00 AM,11/19/2019 12:00:00 AM
L003401112,NCBI Minute: NIH Comparative Genomics Resource (CGR),https://www.youtube.com/watch?v=IsR4yqpc3_U,"Presented September 28, 2022. The NIH Comparative Genomics Resource, known as CGR, is a multi-year National Library of Medicine project to maximize the impact of eukaryotic research organisms and their genomic data resources to biomedical research. NCBI is charged with leading development and engaging genomics communities. The CGR project will facilitate reliable comparative genomics analyses for all eukaryotic organisms in collaboration with the genomics community.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User; Trainer,10/11/2022 12:00:00 AM,10/04/2022 12:00:00 AM
L001565112,"NCBI Minute: New Variation Services for Normalizing, Remapping, and Annotating Variants",https://www.youtube.com/watch?v=gpSI16e59ig,"In this webinar you learn how to use a new set of NCBI variation services that rely on a variant data model called SPDI (Sequence Position Deletion Insertion). These services and data model allow you to inter-convert, map and disambiguate variants in standard formats (RefSNP accessions, HGVS and VCF). Unlike many current variant notation systems, SPDI provides unambiguous, machine-readable definitions of variants. SPDI not only powers SNP build and mapping procedures at NCBI but also our variant sensors that are active in the global search and ClinVar. These services and notation system provide valuable new tools for people who work with sequence variants.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/18/2020 12:00:00 AM,02/10/2019 12:00:00 AM
L001584112,"NCBI Minute: On the NCBI Bookshelf, Textbooks for Free",https://www.youtube.com/watch?v=5T-yP7tHtv0,"Since 1999, NCBI has worked with publishers and authors to provide an additional way for readers to access their products. Housed at the U.S. National Library of Medicine, users of the NCBI Bookshelf can freely access Books, Reports, and Documents. Classic textbooks are some of the most popular and heavily used entries, with hundreds of thousands of people using their favorite book every month! This NCBI Minute highlights some of the highly used classic textbooks available (for free) on the NCBI Bookshelf, points out some new ones that have been recently added, introduces why several publishers and authors find this a valuable resource to boost their readership, and how to join in by adding new and updating existing textbooks on the NCBI Bookshelf.",false,MP4 Video,YouTube Video,,Bookshelf,"Training Team, NCBI",User,07/03/2020 12:00:00 AM,03/09/2018 12:00:00 AM
L001603112,NCBI Minute: QuickBLASTP - Rapidly Find High-scoring Protein Matches,https://www.youtube.com/watch?v=pO_a4e7QGRk,The increasing size of protein databases and the need to quickly annotate coding regions from high-throughput genome sequences demands a faster algorithm than traditional protein-protein BLAST (blastp). The new QuickBLASTP service fulfills this need and provides at least a 10-fold increase in speed over blastp with little loss in sensitivity for high-scoring matches. In this webinar you will learn about the strategy QuickBLASTP uses to speed up the search. You will also see how to use the new QuickBLASTP service on the NCBI web BLAST site and how to access and run the standalone kblastp demonstration release.,false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/19/2020 12:00:00 AM,01/10/2018 12:00:00 AM
L002222112,NCBI Minute: Quickly Upload and View Your Own Data in Genomic Context,https://www.youtube.com/watch?v=tTC5VUVvIDw,A tutorial on uploading and displaying your own genomic data in the context of annotated genome assemblies using the Genome Data Viewer and the Sequence Viewer.,false,MP4 Video,YouTube Video,29,Genetics and Molecular Biology; Other,"Training Team, NCBI",User; Trainer,06/11/2021 12:00:00 AM,06/06/2021 12:00:00 AM
L001573112,NCBI Minute: Release Plan for NCBI API Keys,https://www.youtube.com/watch?v=0tykzL11880,"You will soon want to start using API Keys in your E-Utilities API calls as these will allow the fastest access to NCBI databases. In this webinar, we review how API Keys work and provide you with a schedule of brief testing periods and the timing of the full release of API key functionality.",false,MP4 Video,YouTube Video,,Other,"Training Team, NCBI",User,06/18/2020 12:00:00 AM,09/14/2018 12:00:00 AM
L001532112,NCBI Minute: Running the NCBI PGAP on Your Own Data,https://www.youtube.com/watch?v=pNn_-_46lpI,"You can now download (https://github.com/ncbi/pgap) NCBI's Prokaryotic Genome Annotation Pipeline (PGAP), originally developed at NCBI for RefSeq annotations, and run it on your own machine, a compute farm, or in the Cloud on your own data. PGAP predicts genes on bacterial and archaeal genomes using the same inputs and applications used inside NCBI, and you can now submit genome sequences annotated by your copy of PGAP to GenBank. In this webinar, you will learn how to download PGAP and see an example of how to run it on your own genome assembly to prepare for submission to GenBank. You will also learn how to keep your pipeline up-to-date and running smoothly.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/17/2020 12:00:00 AM,12/12/2019 12:00:00 AM
L001907112,NCBI Minute: SRA in AWS Athena for SARS-CoV-2 Research and More,https://youtu.be/_F4FhcDWSJg,"Learn how to use Athena on AWS to quickly search Sequence Read Archive (SRA) in the cloud. We introduce a way to search SRA submitter-supplied metadata and the results of SRA taxonomic analysis with the native AWS tool, Athena, which explores cloud-based data tables using SQL-like queries. You'll see a real-world case study demonstrating how to find key information about SRA runs and identify data sets for your own analysis pipelines. The example will highlight a new data format designed to help advance SARS-CoV-2 research. The SRA aligned reads format is a new compressed data object. This data format includes the raw reads aligned to pre-assembled, contiguous data assemblies (contigs), which will help you more easily determine what's really in a sequence data sample.",false,MP4 Video,YouTube Video,33,Genetics and Molecular Biology; Bioinformatics; Data Science,"Training Team, NCBI",User,12/01/2020 12:00:00 AM,10/18/2020 12:00:00 AM
L002221112,NCBI Minute: Use Web RAPT to Assemble and Annotate Prokaryotic Genomes,https://www.youtube.com/watch?v=MhIZ6llaAac,"A webinar to learn to use the Read Assembly and Annotation Pipeline tool, RAPT, on the web.",false,MP4 Video,YouTube Video,38,Genetics and Molecular Biology; Other,"Training Team, NCBI",User; Trainer,06/11/2021 12:00:00 AM,05/28/2021 12:00:00 AM
L001572112,NCBI Minute: Using BLAST Well,https://www.youtube.com/watch?v=2FW1dk5YQ3I,"In this webinar, the NCBI BLAST team lead will show you how to be more effective with NCBI’s standalone BLAST applications. You will learn how to: —Choose the most appropriate BLAST databases based on size and content —Select and customize BLAST output formats —Generate any format from the BLAST archive format and the standalone formatter —Take advantage of the new BLAST DBv5 built-in taxonomic information to get clearer results —Use Magic-BLAST NCBI's splice-aware next-generation sequence alignment program While the webinar will focus on the standalone programs, you can also use many of strategies make NCBI web BLAST searches more efficient.",false,MP4 Video,YouTube Video,,Genetics and Molecular Biology,"Training Team, NCBI",User,06/18/2020 12:00:00 AM,10/12/2018 12:00:00 AM
L002641112,NCBI Minute: Using NCBI Datasets Command-line Tools to Access Data and Metadata for Genomes,https://www.youtube.com/watch?v=I989pigiJzI&t=17s,"Learn to use the datasets command-line tools (datasets and dataformat) to access, filter, download, and format data and metadata for genomes.",false,MP4 Video,YouTube Video,28,Genetics and Molecular Biology; Other,"Training Team, NCBI",User; Trainer,12/29/2021 12:00:00 AM,09/27/2021 12:00:00 AM
L002241112,NCBI Minute: Using NCBI Datasets for Downloading Sequence and Annotation for Genomes and Genes,https://www.youtube.com/watch?v=OKdcgVZJje8,"Webinar on how to use the new NCBI Datasets resource to find and download gene, genome and SARS-CoV-2 sequence and annotation.",false,MP4 Video,YouTube Video,34,Genetics and Molecular Biology; Bioinformatics,"Training Team, NCBI",User; Trainer,07/13/2021 12:00:00 AM,07/12/2021 12:00:00 AM
L003321112,NCBI Minute: Using NCBI Foreign Contamination Screen (FCS) to Remove Contaminants from Genome Assemblies,https://www.youtube.com/watch?v=C7oLXUup14E,"A 40 minute webinar, including a question/answer session, covering NCBI's new tools for detecting and removing contaminant sequence in genome assemblies.  For more information, and where to download the tools, see the NCBI Insights blog post:",false,MP4 Video,YouTube Video,40,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User; Trainer,10/11/2022 12:00:00 AM,09/20/2022 12:00:00 AM
